timestamp_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,chk,computed_chk,udp_host,udp_port,raw_line
2026-07-12T17:45:00.662140+00:00,1,,0,3260,0,12000,500,6000,hd,0,EC,EC,127.0.0.1,5005,"p3,seq=03260,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=EC,raw=00"
2026-07-12T17:45:01.667365+00:00,1,,0,3261,0,12000,500,6000,hd,0,ED,ED,127.0.0.1,5005,"p3,seq=03261,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=ED,raw=00"
2026-07-12T17:45:02.675138+00:00,1,,0,3262,0,12000,500,6000,hd,0,EE,EE,127.0.0.1,5005,"p3,seq=03262,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=EE,raw=00"
2026-07-12T17:45:03.680621+00:00,1,,0,3263,0,12000,500,6000,hd,0,EF,EF,127.0.0.1,5005,"p3,seq=03263,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=EF,raw=00"
2026-07-12T17:45:04.693312+00:00,1,,0,3264,0,12000,500,6000,hd,0,90,90,127.0.0.1,5005,"p3,seq=03264,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=90,raw=00"
2026-07-12T17:45:05.698995+00:00,1,,0,3265,0,12000,500,6000,hd,0,91,91,127.0.0.1,5005,"p3,seq=03265,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=91,raw=00"
2026-07-12T17:45:06.705674+00:00,1,,0,3266,0,12000,500,6000,hd,0,92,92,127.0.0.1,5005,"p3,seq=03266,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=92,raw=00"
2026-07-12T17:45:07.712214+00:00,1,,0,3267,0,12000,500,6000,hd,0,93,93,127.0.0.1,5005,"p3,seq=03267,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=93,raw=00"
2026-07-12T17:45:08.718131+00:00,1,,0,3268,0,12000,500,6000,hd,0,94,94,127.0.0.1,5005,"p3,seq=03268,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=94,raw=00"
2026-07-12T17:45:09.729265+00:00,1,,0,3269,0,12000,500,6000,hd,0,95,95,127.0.0.1,5005,"p3,seq=03269,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=95,raw=00"
2026-07-12T17:45:10.739791+00:00,1,,0,3270,0,12000,500,6000,hd,0,96,96,127.0.0.1,5005,"p3,seq=03270,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=96,raw=00"
2026-07-12T17:45:11.742128+00:00,1,,0,3271,0,12000,500,6000,hd,0,97,97,127.0.0.1,5005,"p3,seq=03271,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=97,raw=00"
2026-07-12T17:45:12.748489+00:00,1,,0,3272,0,12000,500,6000,hd,0,98,98,127.0.0.1,5005,"p3,seq=03272,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=98,raw=00"
